Number,ImagePath,Label,Reference
1,dataset/transformed_dataset/Happy/00a816b5835511c874bf22c5727da993d806d97c7640ffcdafe10466.jpg,Happy,https://www.kaggle.com/datasets/sujaykapadnis/emotion-recognition-dataset
2,dataset/transformed_dataset/Happy/00a957fdf286bf7aaedb36be896c4ca9573f529be3794aa8d2cef5b8.jpg,Happy,https://www.kaggle.com/datasets/sujaykapadnis/emotion-recognition-dataset
3,dataset/transformed_dataset/Happy/00a5233f390f06137649e6535b1dab5abd2af78513bce1d7fb338796.jpg,Happy,https://www.kaggle.com/datasets/sujaykapadnis/emotion-recognition-dataset
4,dataset/transformed_dataset/Happy/00a6199b2cc8d45896adc3fd3d06c8d51651288d5084c84a2cb7b2f7.jpg,Happy,https://www.kaggle.com/datasets/sujaykapadnis/emotion-recognition-dataset
5,dataset/transformed_dataset/Happy/00a430972b8ef5df18235bf94b8f9767ca43353939c65b8c98b75837.jpg,Happy,https://www.kaggle.com/datasets/sujaykapadnis/emotion-recognition-dataset
6,dataset/transformed_dataset/Happy/00a3601128cbca434c2ebbdf7b7fece9cb5818160e930aa2cb721ce6.png,Happy,https://www.kaggle.com/datasets/sujaykapadnis/emotion-recognition-dataset
7,dataset/transformed_dataset/Happy/00a7112212c133de419d2c89fd8be75729b041400d6458c3ed8db29a.jpg,Happy,https://www.kaggle.com/datasets/sujaykapadnis/emotion-recognition-dataset
8,dataset/transformed_dataset/Happy/00a9718745d7b41fd26161aec70f3edf86900768f3ac39a591ced0ef.jpg,Happy,https://www.kaggle.com/datasets/sujaykapadnis/emotion-recognition-dataset
9,dataset/transformed_dataset/Happy/00aa19a483ba8f356ab333cf313abc8cfeea38b18059224f18b785ce.jpg,Happy,https://www.kaggle.com/datasets/sujaykapadnis/emotion-recognition-dataset
10,dataset/transformed_dataset/Happy/00aad07893c6379a90a75ae86053d647a765bf01dd4435b30ff274c3.jpg,Happy,https://www.kaggle.com/datasets/sujaykapadnis/emotion-recognition-dataset
11,dataset/transformed_dataset/Happy/00aaf9b9cceae1ee780a885db8de7a6e76139fd0aa49e73ecc47b045.jpg,Happy,https://www.kaggle.com/datasets/sujaykapadnis/emotion-recognition-dataset
12,dataset/transformed_dataset/Happy/00ab7a978ed60ddcf7e9bbabf89ad867c037472890c1d398def78eb7.jpg,Happy,https://www.kaggle.com/datasets/sujaykapadnis/emotion-recognition-dataset
13,dataset/transformed_dataset/Happy/00ab480c967529c2943468c8bb0b75e623f4f9167806208de41fa78e.jpg,Happy,https://www.kaggle.com/datasets/sujaykapadnis/emotion-recognition-dataset
14,dataset/transformed_dataset/Happy/00ab684d735cede9583985de144282e0cb91dc9057e35e47ee08d0c3.JPG,Happy,https://www.kaggle.com/datasets/sujaykapadnis/emotion-recognition-dataset
15,dataset/transformed_dataset/Happy/00ab5470495c3ed787c1ad54a9ec071e9a7d1586c3da6b0288bbd5d9.jpg,Happy,https://www.kaggle.com/datasets/sujaykapadnis/emotion-recognition-dataset
16,dataset/transformed_dataset/Happy/00ad34a1ddafd15fb5469e22aab5b5f2664804192bad4ec4fff7866a.jpg,Happy,https://www.kaggle.com/datasets/sujaykapadnis/emotion-recognition-dataset
17,dataset/transformed_dataset/Happy/00ad90cac8372537f41eaf7eae09e3df82b036160e977f54d25db602.jpg,Happy,https://www.kaggle.com/datasets/sujaykapadnis/emotion-recognition-dataset
18,dataset/transformed_dataset/Happy/00addc13e76de4d13a91b6952d1447435764bdc3389dfd499c232ba2.jpg,Happy,https://www.kaggle.com/datasets/sujaykapadnis/emotion-recognition-dataset
19,dataset/transformed_dataset/Happy/00ae6fbf61f8a26603f5922136bc326a10112fe742a0f7b20a9c0776.jpg,Happy,https://www.kaggle.com/datasets/sujaykapadnis/emotion-recognition-dataset
20,dataset/transformed_dataset/Happy/00aeb8e4139db0df21822b5862b46e31b28f85c458fae6abb2049a8e.jpg,Happy,https://www.kaggle.com/datasets/sujaykapadnis/emotion-recognition-dataset
21,dataset/transformed_dataset/Happy/00aff19db3fda613446f487e368d57202d0ae3d0e36d9100b1c23824.jpg,Happy,https://www.kaggle.com/datasets/sujaykapadnis/emotion-recognition-dataset
22,dataset/transformed_dataset/Happy/00b2b9e9ad753c43e58d54334589ee689fb8a5f4dfbe58f602dda112.jpg,Happy,https://www.kaggle.com/datasets/sujaykapadnis/emotion-recognition-dataset
23,dataset/transformed_dataset/Happy/00b2c026b5787be5ef52d0be4313700ccd455fb22e3236c6f99d7910.jpg,Happy,https://www.kaggle.com/datasets/sujaykapadnis/emotion-recognition-dataset
24,dataset/transformed_dataset/Happy/00b4af09d792a4e99548726b63320704899d032e557a714fa986100d.jpg,Happy,https://www.kaggle.com/datasets/sujaykapadnis/emotion-recognition-dataset
25,dataset/transformed_dataset/Happy/00b30d5b66d37346d898d97876fb6b5fd15d7fd2598462b157f0a127.jpg,Happy,https://www.kaggle.com/datasets/sujaykapadnis/emotion-recognition-dataset
26,dataset/transformed_dataset/Happy/00b59fbb21078634444acfcccf26122866c6553435f311dfe0ff269e.jpeg,Happy,https://www.kaggle.com/datasets/sujaykapadnis/emotion-recognition-dataset
27,dataset/transformed_dataset/Happy/00b62d66552da112461d6ec855b690c9da6b4fca3808e2c44b143bf9.jpg,Happy,https://www.kaggle.com/datasets/sujaykapadnis/emotion-recognition-dataset
28,dataset/transformed_dataset/Happy/00b88f67c29fb11ef04907ad331f68fd1ce88d7f8e4097fec105c4cc.jpg,Happy,https://www.kaggle.com/datasets/sujaykapadnis/emotion-recognition-dataset
29,dataset/transformed_dataset/Happy/00b597a317f73e5832275a0a5f9aa8250f1a4450bd55ac20387f2c9d.jpg,Happy,https://www.kaggle.com/datasets/sujaykapadnis/emotion-recognition-dataset
30,dataset/transformed_dataset/Happy/00b13864d090d4568c470f522cba140f790bf92ec6beda81e0966f1a.jpg,Happy,https://www.kaggle.com/datasets/sujaykapadnis/emotion-recognition-dataset
31,dataset/transformed_dataset/Happy/00b80955a6562968e7ad9fb9d3476a9246642d7335b788bc1b6851bc.jpg,Happy,https://www.kaggle.com/datasets/sujaykapadnis/emotion-recognition-dataset
32,dataset/transformed_dataset/Happy/00b249696faa744d2af76560c289921a5a43350ff8dce4d1dae04e66.jpg,Happy,https://www.kaggle.com/datasets/sujaykapadnis/emotion-recognition-dataset
33,dataset/transformed_dataset/Happy/00b4596751323d0439edd8f0576c69c640f4f9245217e72d410be23d.png,Happy,https://www.kaggle.com/datasets/sujaykapadnis/emotion-recognition-dataset
34,dataset/transformed_dataset/Happy/00bb0a4cb6e9cd10d6e863c55b91c35de24c4c3e8a81dc876e08cfb9.jpg,Happy,https://www.kaggle.com/datasets/sujaykapadnis/emotion-recognition-dataset
35,dataset/transformed_dataset/Happy/00bb472bb45742ec12d41f4dfc9376843d41b97163866060f465c575.jpg,Happy,https://www.kaggle.com/datasets/sujaykapadnis/emotion-recognition-dataset
36,dataset/transformed_dataset/Happy/00bbe60d9d53d7b085c6021558c71056286414ed7271d63d69d883aa.jpg,Happy,https://www.kaggle.com/datasets/sujaykapadnis/emotion-recognition-dataset
37,dataset/transformed_dataset/Happy/00bc7b57afa60e86ad1229fafe215c4f87dc33b81c964143353e4eea.jpg,Happy,https://www.kaggle.com/datasets/sujaykapadnis/emotion-recognition-dataset
38,dataset/transformed_dataset/Happy/00bcf5b482f46d21627c4f3a16246e5592b032f787a8ed8f42890533.jpg,Happy,https://www.kaggle.com/datasets/sujaykapadnis/emotion-recognition-dataset
39,dataset/transformed_dataset/Happy/00bd3f8b999043d53d9b47cf779b53c68c7eeabe167206d62c29a02b.jpg,Happy,https://www.kaggle.com/datasets/sujaykapadnis/emotion-recognition-dataset
40,dataset/transformed_dataset/Happy/00bd5f1a381de3032024db635adfbe0f72acd657c6cffff02dc2ac8d.jpg,Happy,https://www.kaggle.com/datasets/sujaykapadnis/emotion-recognition-dataset
41,dataset/transformed_dataset/Happy/00be9ecce04bc1dcb3eb7e288367522bb97aed3b26742bfae179cabc.jpg,Happy,https://www.kaggle.com/datasets/sujaykapadnis/emotion-recognition-dataset
42,dataset/transformed_dataset/Happy/00be37599484ece33200c725b65f8aea6da7641f81f15ffeb4b7473f.jpg,Happy,https://www.kaggle.com/datasets/sujaykapadnis/emotion-recognition-dataset
43,dataset/transformed_dataset/Happy/00c3b8191e66292b13e3993708182fbd05327a2b8342419c0f769cf4.jpg,Happy,https://www.kaggle.com/datasets/sujaykapadnis/emotion-recognition-dataset
44,dataset/transformed_dataset/Happy/00c5e0db6d71ec41503ae91061c0a6b795843b8612ab5f06b595d83e.jpg,Happy,https://www.kaggle.com/datasets/sujaykapadnis/emotion-recognition-dataset
45,dataset/transformed_dataset/Happy/00c5e28679f8f537f1f79d7f1bed7b9d52433e0aad7dbefbd1abc03b.jpeg,Happy,https://www.kaggle.com/datasets/sujaykapadnis/emotion-recognition-dataset
46,dataset/transformed_dataset/Happy/00c6a7f4efd6d9eea8503997b51a130eda3173b78da84eb19e3622c0.jpg,Happy,https://www.kaggle.com/datasets/sujaykapadnis/emotion-recognition-dataset
47,dataset/transformed_dataset/Happy/00c09aba0b9b327adce1558f8c0dc7dc6dc80fe166f4ab7d6fc4aaf8.jpg,Happy,https://www.kaggle.com/datasets/sujaykapadnis/emotion-recognition-dataset
48,dataset/transformed_dataset/Happy/00c11a2cf326700f94125d5a2661a18e9ef06add3d07d272e996a4a7.jpg,Happy,https://www.kaggle.com/datasets/sujaykapadnis/emotion-recognition-dataset
49,dataset/transformed_dataset/Happy/00c11b37dd06702e36a365a5bec4540bc2e5f8a24ff21c64d7cdb6c9.jpg,Happy,https://www.kaggle.com/datasets/sujaykapadnis/emotion-recognition-dataset
50,dataset/transformed_dataset/Happy/00c81d3f095b395c1031d8b42903bbe6e8033c4bc419dac15cffba49.jpg,Happy,https://www.kaggle.com/datasets/sujaykapadnis/emotion-recognition-dataset
51,dataset/transformed_dataset/Happy/00c980b35c6d9f2017c8d99288f1af8c8b46913f3fe3f9eee42ae333.jpg,Happy,https://www.kaggle.com/datasets/sujaykapadnis/emotion-recognition-dataset
52,dataset/transformed_dataset/Happy/00c7608c74e17d4bfe81b52cfb2465f8cee79f765dbdf74d6260baf3.jpg,Happy,https://www.kaggle.com/datasets/sujaykapadnis/emotion-recognition-dataset
53,dataset/transformed_dataset/Happy/00c87370a48daa8b5ca6e798a7dfc5d91dee93abce5100f403a1585c.jpg,Happy,https://www.kaggle.com/datasets/sujaykapadnis/emotion-recognition-dataset
54,dataset/transformed_dataset/Happy/00c89466494aaf8b2573f2cd13ff17ed6dc042bf3a4571e55982cd53.jpg,Happy,https://www.kaggle.com/datasets/sujaykapadnis/emotion-recognition-dataset
55,dataset/transformed_dataset/Happy/00cac11c658503ba7b6e45baab1113da9bd135325c53d08895dcddb5.jpg,Happy,https://www.kaggle.com/datasets/sujaykapadnis/emotion-recognition-dataset
56,dataset/transformed_dataset/Happy/00cad63a14cd3e65cbdca0aebf9e7f9c5ed21164148a7295ae2d5a34.jpg,Happy,https://www.kaggle.com/datasets/sujaykapadnis/emotion-recognition-dataset
57,dataset/transformed_dataset/Happy/00cb6c1011c5bbe077ce2f388c5cbc16e8f3f6923e7da7dbed2b17a0.jpg,Happy,https://www.kaggle.com/datasets/sujaykapadnis/emotion-recognition-dataset
58,dataset/transformed_dataset/Happy/00cbbbbda41d8e77cfc9d901bf4a4e742cae07ce42ea6a6c9e52bde2.png,Happy,https://www.kaggle.com/datasets/sujaykapadnis/emotion-recognition-dataset
59,dataset/transformed_dataset/Happy/00ccc2da299242a9bb11ff341ba9425fdf6ce9af8a161960e85d88e1.jpg,Happy,https://www.kaggle.com/datasets/sujaykapadnis/emotion-recognition-dataset
60,dataset/transformed_dataset/Happy/00ccf3e504facbeae4c3edc68d63cb05c64608e60e2e23055d29106a.jpg,Happy,https://www.kaggle.com/datasets/sujaykapadnis/emotion-recognition-dataset
61,dataset/transformed_dataset/Happy/00cd0de6f70d85dd943b614451c6ea4dd649d86a774314afa39d80bd.jpg,Happy,https://www.kaggle.com/datasets/sujaykapadnis/emotion-recognition-dataset
62,dataset/transformed_dataset/Happy/00cdebb898cdfb8038584186f0e8b20ae217cb70dbd477d7d5fac8a1.jpg,Happy,https://www.kaggle.com/datasets/sujaykapadnis/emotion-recognition-dataset
63,dataset/transformed_dataset/Happy/00cebd854aa5fac739f8312861db422db1b936bcd50057a2da63dc79.jpg,Happy,https://www.kaggle.com/datasets/sujaykapadnis/emotion-recognition-dataset
64,dataset/transformed_dataset/Happy/00cef2b84d8cb86ed058eda35a1e4b44ee11d5610cdd7a100e61f301.jpg,Happy,https://www.kaggle.com/datasets/sujaykapadnis/emotion-recognition-dataset
65,dataset/transformed_dataset/Happy/00d4f7762a0a3ee51abd17b00f69e3b1c86b2e59518fdd4d39bb8cb3.jpg,Happy,https://www.kaggle.com/datasets/sujaykapadnis/emotion-recognition-dataset
66,dataset/transformed_dataset/Happy/00d5c92c34169a662d526eeb23f45007a0589c8ceacbbf6d4e55aff2.jpg,Happy,https://www.kaggle.com/datasets/sujaykapadnis/emotion-recognition-dataset
67,dataset/transformed_dataset/Happy/00d7f924b554dcebd8bf481b86140d660a79aee6b5620b14c8dccdc0.jpg,Happy,https://www.kaggle.com/datasets/sujaykapadnis/emotion-recognition-dataset
68,dataset/transformed_dataset/Happy/00d8f1e7811ee75e2cb355b7a7143022f2bac6657edfd8642e38cb20.jpg,Happy,https://www.kaggle.com/datasets/sujaykapadnis/emotion-recognition-dataset
69,dataset/transformed_dataset/Happy/00d18fff9a7ba7ef90b6bdb25e6b4dec9baccec691677a68ef237483.jpg,Happy,https://www.kaggle.com/datasets/sujaykapadnis/emotion-recognition-dataset
70,dataset/transformed_dataset/Happy/00d21f98e1c729bfe58d738efe02a51a4eb313df39c0c4d67f5cc4b6.jpg,Happy,https://www.kaggle.com/datasets/sujaykapadnis/emotion-recognition-dataset
71,dataset/transformed_dataset/Happy/00d30d291a8f63c846c2f500fe070298cec32fba403f141549f38c72.jpg,Happy,https://www.kaggle.com/datasets/sujaykapadnis/emotion-recognition-dataset
72,dataset/transformed_dataset/Happy/00d49d1a83aef96ee7c466bfe10545813d6cfbed35870f9ca1f0f583.jpg,Happy,https://www.kaggle.com/datasets/sujaykapadnis/emotion-recognition-dataset
73,dataset/transformed_dataset/Happy/00d52f1e5fd8318c0946706e3f672c23f71eb56a5b71d1b857ab38f0.jpg,Happy,https://www.kaggle.com/datasets/sujaykapadnis/emotion-recognition-dataset
